#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
She is <b>afraid of</b> spiders.	afraid of (German-trap)	interference	afraid + of + threat					'Afraid OF' is standard; never 'afraid BEFORE' or 'afraid FROM'	German 'Angst vor' may cause transfer; English uses 'of' not alternatives	afraid before (incorrect German-transfer)	German 'vor' (before/in-front-of) doesn't map to English fear-constructions; use 'afraid OF'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
She <b>depends on</b> her family.	depend on (Russian-trap)	interference	depend + on + source					'Depend ON' is correct; never 'depend FROM'	Russian 'зависит от' (from) causes learners to produce 'depend from'	depend from (incorrect Russian-transfer)	Russian 'от' (from) ≠ English 'on'; always 'depend ON'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
The book <b>consists of</b> 300 pages.	consist of (Russian-trap)	interference	consist + of + component					'Consist OF' is standard; never 'consist FROM'	Russian 'состоит из' (from) causes direct transfer error	consist from (incorrect Russian-transfer)	Russian 'из' ≠ English 'of' in consist-clauses; always 'consist OF'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
This style is <b>different from</b> that one.	different from (Russian-trap)	interference	different + from + other					'Different FROM' is standard; never 'different OF'	Russian 'отличается от' (from) transfers correctly, but some learners use 'of' (error)	different of (incorrect Russian-transfer)	Russian 'от' maps to 'from'; never use 'of' with 'different'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
I go <b>to</b> school every day.	go to (Russian-trap)	interference	go + to + destination					'Go TO' is obligatory; bare 'go' is incomplete	Russian 'идти' can be bare in some contexts, leading to omission in English	go (bare; incorrect Russian-transfer)	Russian omits destination preposition; English requires 'go TO place'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:russian
He arrived <b>in</b> Beijing yesterday.	in (arrive destination; Mandarin-trap)	interference	arrive + in + city					'Arrive IN' for cities/countries; 'arrive AT' for specific places	Mandarin learners omit preposition or use wrong form; English requires explicit prep	arrive (bare; incorrect Mandarin-transfer)	Mandarin omits destination preposition; English requires 'arrive in/at'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:mandarin
I'll meet you <b>on</b> Monday.	on Monday (Mandarin-trap)	interference	on + day-of-week					Days of the week require 'ON'; never bare	Mandarin learners often omit preposition	Monday (bare; incorrect Mandarin-transfer)	Mandarin grammar omits prepositions; English requires 'on Monday'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:mandarin
This happened <b>in</b> 2024.	in (year; Mandarin-trap)	interference	in + year					Years take 'IN'; never bare	Mandarin omits temporal preposition; English requires explicit marking	2024 (bare; incorrect Mandarin-transfer)	Mandarin lacks prepositions for years; English requires 'in 2024'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:mandarin
She <b>got on</b> the bus.	get on/off (Japanese-trap)	interference	get + on + vehicle					'Get ON' and 'get OFF' are standard for vehicles; never 'up/down'	Japanese may use vertical particles; English uses directional preps	get up the bus (incorrect Japanese-transfer)	Japanese vertical distinctions don't map; English uses 'on/off' for vehicles	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:japanese
He works <b>on</b> Tuesday.	on Tuesday (Japanese-trap)	interference	on + day-of-week					Days of the week require 'ON'; never bare	Japanese learners omit day preposition; English requires 'on'	Tuesday (bare; incorrect Japanese-transfer)	Japanese grammar omits prepositions; English requires 'on Tuesday'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:japanese
The keys are <b>in</b> the box.	in (spatial container)	polysemy	in + enclosed-space			no external	container	Prototype: spatial containment; the landmark fully encloses the trajector	Spatial location within boundaries	✗ in trouble, in love, in 2024	when the object is outside or resting on top	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:partial
He is <b>in</b> trouble.	in (abstract: state/condition)	polysemy	in + state			cognitive	container	Extended: the landmark is an abstract state or condition that 'contains' or envelops the trajector	Abstract domain mapping	✗ in love, in pain, in debt	only for spatial/physical locations	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:container generalisable:partial
She was born <b>in</b> 2024.	in (temporal: year/season)	polysemy	in + time-span			temporal	container	Extended: the landmark is a temporal container (year, season, month, decade)	Temporal domain mapping	✗ in summer, in January, in the 1990s	for clock times (at 3 p.m.) or days (on Monday)	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:container generalisable:partial
The movie is <b>on</b> tonight.	on (temporal: event scheduled)	polysemy	on + scheduled-event			temporal	support	Extended: the event is 'on' (happening, scheduled for a time-slot)	Temporal/social domain	✗ on Friday, on the news, on television	when the event is not happening or has passed	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:support generalisable:partial
She worked <b>on</b> the project.	on (activity focus)	polysemy	on + object-of-focus			cognitive	support	Extended: the trajector is focused/engaged with the landmark as a task or work item	Cognitive/activity domain	✗ on a problem, on an issue, on a painting	when the activity is finished or abandoned	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:support generalisable:partial
Meet me <b>at</b> the station.	at (spatial point)	polysemy	at + reference-point			geocentric	point	Prototype: a precise spatial point or reference location; sharp focus on a single point	Spatial: locating at a precise place	✗ at the door, at the corner, at the museum	inside a larger space; use 'in' instead	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:partial
The meeting is <b>at</b> 3 p.m.	at (temporal point)	polysemy	at + clock-time			temporal	point	Extended: a specific clock time (precise temporal point)	Temporal: clock times	✗ at noon, at midnight, at 6 o'clock	for days (on Monday) or longer periods (in summer)	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:partial
She is skilled <b>at</b> languages.	at (proficiency/activity)	polysemy	at + skill-domain			cognitive	point	Extended: the landmark is a domain of activity or skill; sharp focus on expertise	Activity/cognitive domain	✗ good at, bad at, skilled at, hopeless at	when describing the activity itself (use 'in' differently)	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:point generalisable:partial
The journey is <b>by</b> train.	by (means/instrument)	polysemy	by + instrument-of-means			instrumental	path	Prototype: the landmark is the means or instrument through which the trajector travels or acts	Instrumental: identifying the method or conveyance	✗ by car, by plane, by hand	when describing destination (use 'to') or the rider	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:path generalisable:partial
The house was built <b>by</b> the architect.	by (agent in passive)	polysemy	by + agent			instrumental	point	Extended: the landmark is the agent performing the action in a passive construction	Grammatical: passive voice marking	✗ by the author, by the government	in active voice or when describing instruments	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:point generalisable:partial
The rule was created <b>by</b> 2024.	by (deadline/limit)	polysemy	by + temporal-limit			temporal	point	Extended: the landmark is a deadline or temporal boundary (limit reached by or before that time)	Temporal: marking deadlines	✗ by Friday, by midnight, by the end of the year	after a time (use 'after') or ongoing at a time	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:point generalisable:partial
The river flows <b>through</b> the valley.	through (spatial path)	polysemy	through + enclosed-path			geocentric	path	Prototype: the trajector moves from inside one boundary to inside another, passing through an intermediate enclosed space	Spatial: movement within/across enclosed terrain	✗ through the door, through the crowd, through the tunnel	around the outside (use 'around') or to the far side (use 'to')	module:11 sense:polysemy type:recognition frequency:high register:neutral cefr:b1 image-schema:path generalisable:partial
